Sample_ID,Tissue,ABR,PVP,Temp,Concentration (ng/µL),A260 (Abs),A280 (Abs),Purity (260/A280),Purity (260/A230),Diluent volume,Est.Qty,OD1,OD2
28,Cotyledon leaf,CTL,PST,Cold,65.7,1.193,0.611,1.95,1.58,50,3285,GQ,LQ
29,Cotyledon leaf,CTL,PST,Cold,70.8,1.283,0.662,1.94,1.57,50,3540,GQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,51.3,1.137,0.489,2.33,1.67,50,2565,LQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,163.2,2.162,1.126,1.92,1.69,50,8160,GQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,70.2,1.637,0.718,2.28,1.34,50,3510,LQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,50.9,1.353,0.72,1.88,1.36,50,2545,GQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,69.2,1.283,0.556,2.31,1.42,50,3460,LQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,77.7,1.506,0.763,1.97,1.43,50,3885,GQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,64.8,1.193,0.611,1.95,1.35,50,3240,GQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,89.2,1.483,0.662,2.24,1.62,50,4460,LQ,LQ
30,Cotyledon leaf,CTL,PST,Cold,54.3,1.1037,0.489,2.26,1.46,50,2715,LQ,LQ
